game_name,scaled_rating
Idle Wizard,0.782141922
Gratuitous Space Battles,0.719715336
The Testament of Sherlock Holmes,0.811087249
Contagion,0.682349814
Splody,0.982177666
BattleBlock Theater,0.970216708
Viral Cry,0.34502924
EverQuest Free-to-Play,0.699027249
Arma 3,0.880382151
ArcheAge,0.453199472
The Bard's Tale,0.746288799
The Search,0.632183908
Mashinky,0.859764449
Trove,0.750159263
The Coin Game,0.914180355
Divinity: Original Sin 2,0.940642441
Hyperdrive Massacre,0.490685477
Pixplode,0.91682911
RAGE,0.736401937
Out of the Park Baseball 17,0.905829089
Fantasy Blacksmith,0.541113654
Gelu,0.822714681
MONMUSU,0.712617661
嗜血印 Bloody Spell,0.777858812
Arcanum,0.857302118
Waves,0.934846788
"Warhammer 40,000: Dawn of War - Winter Assault",0.874877811
Graveyard Keeper,0.727219673
Deus Ex: Mankind Divided™,0.647113676
Resident Evil,0.893579661
Jet Set Radio,0.82415209
Supreme Commander,0.851756531
Lead and Gold - Gangs of the Wild West,0.69646338
Hamilton's Great Adventure,0.630186578
